date,ship,lat,long,place,notes1,notes2,
1802-02-10,Essex,35.12582,-5.36403,"Europa Point S, North pt of the rock E 1/2 S, Algeciras WNW, St Roque NbE",,,
1802-02-15,Essex,35.62303,-5.22092,Tetuan,,,
1802-02-20,Essex,36.16628,-5.41827,Townof St Roque NE E South signal tower on Gibr' SEbE of Algeziras W S. South tower NW N. Town ,,,
1802-02-23,Essex,36.13833,-5.35,Gibraltar,,,
1802-02-24,Essex,35.78035,-5.78987,Cape Malabata EbN N Tangier W 1/2 N & Cape Spartel NWbN,,,
1802-02-25,Essex,35.78035,-5.78987,"Ca e Malabata NEbE E, Cape Spartel N W 1/2 W, Tangier WbN 1/2 N & to tower EbN, old Tangier SSE",,,
1802-02-26,Essex,35.81813,-5.75025,Cape Malabata  ,,,
1802-02-27,Essex,36.13833,-5.35,gut of GIbraltar,,,
1802-03-01,Essex,36.13833,-5.35,Gibraltar Bay,,,
1802-03-11,Essex,36.13833,-5.35,Gibraltar Bay,,,
1802-03-12,Essex,36.14375,-5.39878,"Algeziras WbS. North tower NWbW, South tower NW, St Roque NEbE. signal tower on Gib' SE 1/2 E, Cabretta point SWbS 1/2 S",,,
1802-03-13,Essex,35.98925,-5.18833,Ceuta bore SWbW. h apes hill WbS. Meridian CeutaFoint bore WSW. & Gibraltar NWbW,,,
1802-03-14,Essex,36.7015,-4.4165,Malaga Bay (through 3/19),met George Washington,,
1802-03-20,Essex,36.71447,-4.40925,"Cathedral in Malaga bore NE, Cape Molinero WbS 1/2 S",8pm,,
1802-03-20,Essex,36.13722,-6.03278,Cape Trafalgar 3 or 4 miles,7am,4.8km,
1802-03-21,Essex,36.52343,-6.29655,Cadiz,,,
1802-03-22,Essex,35.93333,-5.75,Cape Spartel SW 4 leagues,,22.2km,
1802-03-24,Essex,36.13833,-5.35,Gibraltar: Europa Point bearing SbE 1/2 E & the Norrth Point of the rock EbN 1/2 N.,,,
1802-03-25,Essex,36.1326,-5.43417,"Algeciras: Algeziras bearing WbS 1/2 S. North tower NWbW, Gibraltar SEbE",,,
1802-04-04,Essex,36.13833,-5.35,Gibraltar,,,
1802-04-05,Essex,36.13833,-5.35,Gibraltar,,,
1802-04-06,Essex,36.1326,-5.43417,Algeciras,,,
1802-04-09,Essex,36.14667,-5.28768,Gibraltar WbS & Apes Hill SWbW,,,
1802-04-12,Essex,36.13833,-5.35,Gibraltar,,,
1802-04-13,Essex,36.6987,-4.41142,Malaga roads: Cathedral NNW Cape Molinero SWbW 1/2 W Castle on the hill N,,,
1802-04-16,Essex,36.13833,-5.35,Gibraltar,,,
1802-04-18,Essex,36.52343,-6.29655,Cadiz,,,
1802-04-23,Essex,36.13833,-5.35,Gibraltar,,,
1802-04-25,Essex,36.7015,-4.4165,Malaga Bay,,,
1802-04-30,Essex,36.7015,-4.4165,Malaga Roads ,,,
1802-05-05,Essex,36.13833,-5.35,Gibraltar ,,,
1802-05-12,Essex,35.79194,-6.17056,Cape Spartel E 4 leagues,,22.2km,
1802-05-13,Essex,36.13833,-5.35,Gibraltar,till 5/20,,
1802-05-21,Essex,35.78592,-5.78352,Tangier Bay,,,
1802-05-21,Essex,35.49556,-6.08417,Larache SbW 6 leagues,,33.3km,
1802-05-24,Essex,35.78592,-5.78352,Tangier Bay,,,
1802-05-24,Essex,36.13833,-5.35,Gibraltar,,,
1802-05-25,Essex,35.78592,-5.78352,Tangiers,,,
1802-05-26,Essex,36.13833,-5.35,Gibraltar (anchored 25 fathoms),,,
1802-06-16,Essex,36.05353,-7.24005,Cape Spartel SEbE & Cape Trafalgar EbN,en route to America,,
1802-06-18,Essex,36.3,-7.56667,,,,
1802-06-19,Essex,36.43333,-8.28333,,,,
1802-07-05,Essex,38.06667,-50.31667,,,,
1802-07-15,Essex,39.91667,-66.53333,,,,
1801-06-29,President,,,Cadiz N N E 1/2 E 12 miles,,,
1801-06-30,President,36.13333,-5.35,Gibraltar,"36.13333, -5.35","36.13333, -5.35",
1801-07-01,President,36.13333,-5.35,Gibraltar,"36.13333, -5.35","36.13333, -5.35",
1801-07-04,President,36.13333,-5.35,Gibraltar,"36.13333, -5.35","36.13333, -5.35",
1801-07-09,President,36.76733,3.06642,Algiers Bay,"36.13333, -5.35","36.76733, 3.06642",
1801-07-17,President,37.1795,10.28303,Farina Bay,"36.76733, 3.06642","37.1795, 10.28303 ",
1801-07-18,President,36.8039,10.30932,Tunis Bay,"37.1795, 10.28303 ","36.8039, 10.30932",
1801-07-19,President,36.8039,10.30932,Tunis Bay,"36.8039, 10.30932","36.8039, 10.30932",
1801-07-25,President,32.90965,13.1829,off Tripoli,"36.8039, 10.30932","32.90965, 13.1829",
1801-08-10,President,32.90965,13.1829,off Tripoli,"32.90965, 13.1829","32.90965, 13.1829",
1801-08-16,President,35.90923,14.53392,Malta,"32.90965, 13.1829","35.90923, 14.53392",
1801-08-25,President,32.90965,13.1829,off Tripoli,"35.90923, 14.53392","36.13398, 10.05155",
1801-09-02,President,32.90965,13.1829,off Tripoli,"36.13398, 10.05155","36.13398, 10.05155",
1801-09-03,President,32.90965,13.1829,left Tripoli,"36.13398, 10.05155","36.13398, 10.05155",
1801-09-06,President,36.8039,10.30932,Tunis Bay,"36.8039, 10.30932","36.8039, 10.30932",
1801-09-12,President,36.8039,10.30932,left Tunis for Gibraltar,"36.8039, 10.30932","37.33333, 1.5",
1801-09-21,President,37.33333,1.5,,"37.33333, 1.5","36.13333, -5.35",
1801-09-25,President,36.13703,-5.36468,Gibraltar,"36.13333, -5.35","36.13333, -5.35",
1801-09-28,President,36.13703,-5.36468,Gibraltar,"36.13333, -5.35","36.13333, -5.35",
1801-10-01,President,36.13703,-5.36468,Gibraltar,"36.13333, -5.35","36.13333, -5.35",
1801-10-03,President,36.13703,-5.36468,Gibraltar,"36.13333, -5.35","36.13333, -5.35",
1801-10-05,President,36.13703,-5.36468,Gibraltar,"36.13333, -5.35","36.13333, -5.35",
1801-10-07,President,36.13703,-5.36468,Gibraltar,"36.13333, -5.35","36.13333, -5.35",
1801-10-09,President,36.1326,-5.43417,Algeciras Bay,"36.13333, -5.35","36.1326, -5.43417",
1801-10-25,President,36.1326,-5.43417,Algeciras Bay,"36.1326, -5.43417","36.1326, -5.43417",
1801-10-26,President,36.13703,-5.36468,Gibraltar,"36.1326, -5.43417","36.13333, -5.35",
1801-10-27,President,36.13703,-5.36468,Gibraltar,"36.13333, -5.35","36.13333, -5.35",
1801-11-01,President,36.13703,-5.36468,left Gibraltar,"36.13333, -5.35","36.7015, -4.4165",
1801-11-05,President,36.7015,-4.4165,Malaga,"36.7015, -4.4165","36.7015, -4.4165",
1801-11-14,President,36.76733,3.06642,off Algiers,"36.7015, -4.4165","36.76733, 3.06642",
1801-11-19,President,39.86732,4.31455,Mahon,"36.76733, 3.06642","39.86732, 4.31455",
1801-12-06,President,43.11425,5.91987,Toulon,"39.86732, 4.31455","43.11425, 5.91987",
1802-02-11,President,43.11425,5.91987,left Toulon,"43.11425, 5.91987","36.13333, -5.35",
1802-02-27,President,36.13703,-5.36468,Gibraltar,"36.13333, -5.35","36.13333, -5.35",
1801-06-30,Philadelphia,36.13703,-5.36468,Gibraltar,,,
1801-07-29,Philadelphia,43.5505,10.29135,Leghorn,,,
1801-08-05,Philadelphia,36.7015,-4.4165,Off Malaga,,,
1801-08-15,Philadelphia,36.13703,-5.36468,off Gibraltar,,,
1801-09-06,Philadelphia,,,2 mi from Cape Porcus,,,
1801-09-07,Philadelphia,36.7015,-4.4165,to Malaga,,,
1801-09-08,Philadelphia,36.7015,-4.4165,Malaga,,,
1801-09-10,Philadelphia,36.7015,-4.4165,Malaga,,,
1801-09-12,Philadelphia,36.7015,-4.4165,left Malaga,,,
1801-09-17,Philadelphia,38.53333,4.45,,,,
1801-09-18,Philadelphia,39.05,6.4333,,,,
1801-09-25,Philadelphia,35.9282,11.52387,"left Tunis, halfway btw Cape Pantaleria and Cape Bon",,,
1801-09-26,Philadelphia,35.4,12.73582,"Pidussa 20 miles, Island Linosa 10 leagues",,,
1801-09-28,Philadelphia,33.01778,13.09583,Tripoli S E b S 9 miles,,,
1801-09-29,Philadelphia,33.04194,13.11278,Tripoli S S E 1/2 E 10 miles,,,
1801-09-30,Philadelphia,33.01722,13.23472,Tripoli S S W 8 or 9 miles,,,
1801-10-01,Philadelphia,36.08333,12.60833,Linosa E S E 15 miles,,,
1801-10-02,Philadelphia,37.08333,10.91412,"Cape Bon S E 1/2 S, Cimaro (Zembra) S b W 1/2 W",,,
1801-10-03,Philadelphia,36.8039,10.30932,Tunis,,,
1801-10-27,Philadelphia,36.13703,-5.36468,Gibraltar,,,
1801-11-01,Philadelphia,36.13703,-5.36468,left Gibraltar,,,
1801-11-05,Philadelphia,36.7015,-4.4165,Malaga,,,
1802-03-14,Philadelphia,37.07122,15.29698,Syracuse,,,
1802-04-10,Philadelphia,43.5505,10.29135,left Leghorn,,,
1802-03-13,Constellation,39.6647,-75.5653,"New Castle, DE",,,
1802-04-01,Constellation,34.28333,-35.93333,,,,
1802-04-15,Constellation,34.43333,-16.93333,,,,
1802-04-20,Constellation,33.65,-14.8,,,,
1802-04-22,Constellation,32.81667,-11.05,,,,
1802-04-24,Constellation,33.23333,-8.23333,,,,
1802-04-29,Constellation,35.9673,-5.213,Rock of Gibraltar NW b W 4 leagues,,,
1802-04-30,Constellation,36.69307,-4.421623,Malaga Roads,,,
1802-05-04,Constellation,36.4,-4.6216,rock of Gibraltar WbS 12 leagues,,,
1802-05-05,Constellation,36.120621,-5.394171,Gibraltar Bay,,,
1802-05-13,Constellation,36.46667,,,,,
1802-05-16,Constellation,36.797,2.2423,Cape Alberto SbE 3 leagues,,,
1802-05-17,Constellation,37.0482,2.3602,"Cape Albeta S. W1/2S. distant 8 leagues, Cape Croxine SE 1/4 E 11 leagues",,,
1802-05-17,Constellation,37.391379,1.993722,Algiers SbE,,,
1802-05-18,Constellation,39.503455,2.655649,"Majorca, Palma Harbor",,,
1802-05-28,Constellation,37.03283,10.495363,Bay of Tunis,,,
1802-05-29,Constellation,37.03283,10.495363,Tunis Bay,,,
1802-06-01,Constellation,37.03283,10.495363,Tunis Bay,,,
1802-06-04,Constellation,,,abreast Cimaro Island,,,
1802-06-09,Constellation,33.25,13.1266,Tripoli S 8 leagues,,,
1802-06-10,Constellation,33.23333,13.3368,Tripoli SSW 9 leagues,,,
1802-06-14,Constellation,37.07025,15.299392,Saragosa Bay,,,
1802-06-23,Constellation,36.9888,15.4561,Syragosa bore N W B W Distant 3 leagues.,,,
1802-06-07,Constellation,33.25,13.1266,lying on and off Tripoli,,,
1802-07-05,Constellation,32.95,,Old Tripoli SSW 3 leagues,,,
1802-07-13,Constellation,33.15,,,,,
1802-07-20,Constellation,33.1337,12.9436,Tripoli SE 6 leagues,,,
1802-07-20,Constellation,,,Tripoli SWbW 8 leagues,,,
1802-07-20,Constellation,,,Tripoli SW 1/2 W 7 leagues,,,
1802-07-21,Constellation,,,Tripoli SW 1/2 W 3 leagues,,,
1802-07-21,Constellation,33.2217,13.1965,Tripoli S 6 leagues,,,
1802-07-22,Constellation,33.1514,13.3127,Tripoli SSW 5 leagues,,,
1802-07-23,Constellation,33.2205,13.1653,Tripoli S 1/2 E 6 leagues,,,
1802-07-23,Constellation,,,Tripoli SbE 1/2 E 8 leagues,,,
1802-07-23,Constellation,33.18333,,Tripoli S 10 miles,,,
1802-07-30,Constellation,33.03333,13.1809,Tripoli S 1/2 E 10 miles,,,
1802-07-31,Constellation,33.06667,13.3156,Tripoli WbS 1/2 S 10 miles,,,
1802-07-31,Constellation,33.1211,13.2172,Tripoli S 1/2 W 4 leagues,,,
1802-07-31,Constellation,33.1188,13.2378,Tripoli SbW 4 leagues,,,
1802-08-01,Constellation,33.21667,13.4651,Tripoli SW 1/2 S 7 leagues,,,
1802-08-03,Constellation,33.05,13.5827,Tripoli SWbW 8 leagues,,,
1802-08-11,Constellation,33.93333,13.2668,Tripoli SbW 1/2 W 4 leagues,,,
1802-08-15,Constellation,35.96667,13.9244,North point of Goza E 1/2 E 4 leagues,,,
1802-08-16,Constellation,35.90595,14.51859,"2nd mole Valletta, Malta",,,
1802-09-01,Constellation,35.38333,11.942,Cape Bon NbW 1/2 W 160 miles,,,
1802-09-02,Constellation,36.2,11.146645,"Pantalaria NEbE.1/2E. Cape Gobia in Africa N. N. W,  10 leagues",,,
1802-09-05,Constellation,36.9758,11.2528,Cape Bon NWbW 1/2 W 4 leagues,,,
1802-09-06,Constellation,37.4,10.676159,Cape Ferina S. W. B. W. Cape Bon SE 1/2 E,,,
